type,stock_code,description
bags,bulkbag25kg,bulk foil bags 25kg
bags,cbbg10kg,cowbell 10kg bag
bags,cbbg12.5kg,cowbell 12.5kg bag
bags,cbbg5kg10%b9,cowbell 5kg bag french/eng 10%b9 cff367
bags,ly5kgdrc,loya forvita 5kg bag - drc
bags,lybg12.5kg,loya 12.5kg bag
bags,lybg5kg,loya forvita 5kg bag portugese
bags,lybg5kginst,loya forvita 5kg bag fpea
bags,mkbg12.5kg,miksi 12.5kg bag
bags,mkbg5kginst,miksi 5kgbag french/eng
bags,"mlkbg12,5kg","milki 12,5kg bag"
bags,mxbag5kgdrc,mixwell 5kg bag 19% drc
bags,mxbg12.5kg,mixwell 12.5kg bag
bags,ogctomstkbag,onga tomate stick clear plastic bag (225x300x80mic)
bags,ogorgbag,700x1100x65 mic orange bags
bags,plasticbag4g,plastic liner bag for 4g cubes 600x500x50mic
buckets,ogcbuc4g,yellow rectangular bucket
buckets,ogcbuclid4g,yellow rectangular lid
buckets,ogctub4g,onga 10lt yellow kwikloc tub
buckets,ogctublid4g,onga 10lt yellow lid
canister labels,pw00694,jaba shaker cap red
canisters,pw00687,jaba shaker bottle
cans,cbcn1800gfe,1800g cowbell french/eng (maldap-0085)
cans,cbcn1800gtri10%b9,cowbell can 1800g tri language 10%b9 (cff358)malda-0096
cans,cbcn2500tri10%b9216m,cowbell can 2500g tri language 10%b9 (cv185)216mm
cans,cbcn250gfe10%b9,cowbell can 250g 10% b9 french/eng  cff357
cans,cbcn250gp,250g cowbell portuguese (maldap-0077)
cans,cbcn400gfe10%B9,cowbell can 400g french english 10%b9 (cff360)malda-0094
cans,cbcn400gp,400g cowbell portuguese (maldap-0075)
cans,cbcn900gp,900g cowbell portuguese (maldap-0076)
cans,cbcn900gtr10%b9,cowbell can 900g tri language 10% b9(cff361)malda-0095
cans,lycn1800g_ss,loya 1800g ss can tri language (maldap-0090)
cans,mxcn2500g10%,2500g mixwell french 10%
cans,mxcn400g10%,400g mixwell french 10% (maldap-0083)
cans,mxcn900g10%,900g mixwell french 10% (maldap-0082)
corro labels,ogcrlblbeef,corro label boeuf (beef)
corro labels,ogcrlblchick,corro label poulet (chicken)
corro labels,ogcrlblpndukiz,corro label pondu kizaka
corros,amcr4x15,amila 4x15 outer carton port
corros,baseinsert,base inserts
corros,cbcr120/150tri,cowbell corro120/150 tri - 447x255x124(cff377)
corros,cbcr150x11/16gvitd,cowbell 150x(80*120) french drc (1177)
corros,cbcr150x28gchoce,ccm 150x (160*120) 28g eng (eur186692)
corros,cbcr1800gtri,cowbell corro 6x1800g tri language (cff373)
corros,cbcr200gx24e,cowbell corro 200gx24 english 359 x 262 x 169mm (cff379)
corros,cbcr24x400ge,cowbell 24x400g eng (eur186686)
corros,cbcr2500tl,cowbell corro 6x2500g tri language (cff374)
corros,cbcr2500trilg,cowbell corro 6x2500g tri language (ccv224)
corros,cbcr250gfe,cowbell corro 250g french/eng cff369
corros,cbcr300tri,cowbell corro 300 french 398x228x164 (cff380)
corros,cbcr300x(80*120),cowbell 300x(80*120) french (cff/978)
corros,cbcr300x21ge,cowbell 300x(80*120) eng (eur186690)
corros,cbcr400gtri,cowbell corro 24x400g tri language (cff370)
corros,cbcr500gchce,ccm 10x500g english (eur186696)
corros,cbcr6x900tri,cowbell corro 6x900g tri language (cff372)
corros,cbcr900gtri,cowbell 12x900 tri-language (cff371)
corros,cbpcr10x380gtri,cowbell pouch corro 10x380g pouches tri language (cff375)
corros,cbpcr12x400gtri,cowbell pouch corro 12x400g pouches tri language (cff376)
corros,ccmcr28g150tri,cowbell choc 28gx150 corro (ccm246)
corros,cffcr300x12gf,cowbell 300 x 12g french (cff/588)
corros,lycn15gx120,loya corro 15gx120
corros,lycr1800_ss,loya 1800g ss corro tri language
corros,lyscr18g120f,loya forvita 18g120 – semi skimmed
corros,miksicr150x10g,miksi 150x(80*120) french (eur187785)
corros,miksicr500x12g,miksi 500gx12 (mff272)(168x400x230)
corros,mxcr150x(80*120)congo,mixwell 150x(80*120) mix/109
corros,mxcr2500gcan,2500g mixwell cans boxes (1272)
corros,mxcr400g,mixwell 10x400g (eur186684)
corros,mxcr400gcan,400g mixwell cans boxes (1273)
corros,mxcr900gcan,900g mixwell cans boxes (1274)
corros,ogccr4gbeef,onga cube beef 4g (1260)
corros,ogccr4gchick,onga cube chicken 4g (1261)
corros,ogcrbrwn,onga 5g kraft (1276)
corros,ogctomstkcora,onga tomate stick corros 200 (237x162x154)
corros,ogctomstkcord,onga tomate stick corros 360 (392x242x120)
corros,ogtcr10gbeef12x48,onga tablet  beef carne 12x48x10g corro
corros,ogtcr10gbeef24x48,onga tablet  beef 24x48x10g corro
corros,ogtcr10gcrevette12x48,onga tablet  crevette/camarao 12x48x10g corro
corros,ogtcr10gcrevette24x48,onga tablet  crevette/camarao 24x48x10g corro
corros,ogtcr10gmarin12x48,onga tablet  marinade/tempero 12x48x10g corro
corros,ogtcr10gmarin24x48,onga tablet  marinade/tempero 24x48x10g corro
corros,ogtcr10gpondu12x48,onga tablet  pondu kizaka 12x48x10g corro
corros,ogtcr10gpondu24x48,onga tablet  pondu 24x48x10g corro
corros,ogtcr10gpoulet12x48,onga tablet  poulet/galinha 12x48x10g corro
corros,ogtcr10gpoulet24x48,onga tablet  poulet/galinha 24x48x10g corro
corros,ogtcr10gtomato12x48,onga tablet tomato refogado 12x48x10g corro
corros,ogtcr10gtomato24x48,onga tablet  tomato 24x48x10g corro
corros,pw00037,dop 8x72x5g corro gap box
corros,pw00066,jaba chicken  corro
corros,pw00364,corro dop 36's ea
corros,pw00536,dop corro 2g 297x146x80
corros,pw00628,superdip 2g corro
corros,pw00644,corro jaba curry
corros,pw00649,bestcook corro
corros,pw00732,amila ice tea corro 25g
corros,pw602,jaba chicken tablet corros
corros,pw603,jaba beef tablet corros
corros,sspcr15g,sunny stock powder corro
displays,amdc4x15x25g,amila generic display carton 4x15x25g
displays,pdr1146,display - jaba chicken seasoning 10
displays,pw00005,display - jaba chicken seasoning
displays,pw00014,display dop reds 36s 16x36x5g
displays,pw00164,display dop reds 8x72x5g
displays,pw00169,display dop rainbow 72s 5g
displays,pw00639,display jaba beef
displays,pw00645,display jaba curry
displays,pw00646,dop 36x8x5g display carton
displays,pw006504,bestcook chicken display
displays,pw00652,bestcook beef display
displays,pw00741,amila display ice tea
displays,sspdsp15g,sunny stock powder display
grids,pw00688,jaba shaker grid 52mm
ingredients,amigaces,acesulfame - k
ingredients,amigapplfav,flavour apple 052682
ingredients,amigasco,ascorbic acid
ingredients,amigaspa,aspartame
ingredients,amigbanaflav,banana flavour
ingredients,amigblaccc,blackcurrant colour c723/tf
ingredients,amigblacflav,blackcurrant flavour
ingredients,amigblan,univisco blanose 1087
ingredients,amigblatea,black tea extract
ingredients,amigblateaflav,black tea flavour 592023 tp0904
ingredients,amigbrown,brown th c622/s colour
ingredients,amigcaram,caramel colour powder 606
ingredients,amigcarm,carmoisine c069/s
ingredients,amigcloud,espray sd cloud - 07032008039sd
ingredients,amigdext,dextrose
ingredients,amiggrandflav,granadilla flavour 01.01.0035.sd
ingredients,amiglemflav,lemon flavour 051421
ingredients,amiglemlimflav,lemon & lime flavour 01.01.0015.sd
ingredients,amigmangflav_1,sonaflo mango alphonso - 060521
ingredients,amigmangflav_2,mango flavor espray 01.a.02.0085.sd
ingredients,amignaarflav,naartjie flavour
ingredients,amigoranflav3,orange espray flavour - 07.03.2008013sd
ingredients,amigoranflav4,orange flavour - dop 01.0071.sd
