stock_code,description,batch_number,expiry_date
amcr4x15,amila 4x15 outer carton port,320539,
amdc4x15x25g,amila generic display carton 4x15x25g,134218,
amdc4x15x25g,amila generic display carton 4x15x25g,135578,
amdc4x15x25g,amila generic display carton 4x15x25g,138506,
amigaces,acesulfame - k,202505251,2027/05/24
amigaces,acesulfame - k,25040301,2028/04/02
amigaces,acesulfame - k,25050401,2028/05/03
amigaces,acesulfame - k,25072401,2028/07/23
amigasco,ascorbic acid,1240122007,2028/04/30
amigasco,ascorbic acid,2250123014,2029/05/31
amigasco,ascorbic acid,3230143051,2027/11/30
amigasco,ascorbic acid,3240112151,2028/01/01
amigasco,ascorbic acid,3240112151,2028/01/31
amigasco,ascorbic acid,3240141105,2028/09/30
amigasco,ascorbic acid,3250113101,2029/03/15
amigaspa,aspartame,24082108,2027/08/20
amigaspa,aspartame,2410016RP,2027/10/27
amigaspa,aspartame,2506012RP,2028/06/15
amigaspa,aspartame,W25042018,2028/04/19
amigaspa,aspartame,W25072456,2028/07/23
amigbanaflav,banana flavour,050425 111910,2027/04/05
amigbanaflav,banana flavour,070224 108746,2026/02/07
amigbanaflav,banana flavour,101124 110883,2026/11/10
amigblaccc,blackcurrant colour c723/tf,ZS24020237,2026/02/27
amigblacflav,blackcurrant flavour,130425 111971,2027/04/13
amigblacflav,blackcurrant flavour,151124 110981,2026/11/15
amigblan,univisco blanose 1087,UNIV1087/03102024/01,2025/10/03
amigblan,univisco blanose 1087,UNIV1087/17032025/01,2026/03/17
amigblan,univisco blanose 1087,UNV1087/02092025/01,2026/09/02
amigblan,univisco blanose 1087,unv1087/05062025/01,2026/06/05
amigblan,univisco blanose 1087,UNV1087/07102025/01,2026/10/07
amigblan,univisco blanose 1087,UNV1087/12052025/01,2026/05/12
amigblan,univisco blanose 1087,UNV1087/25072025/01,2026/07/25
amigblatea,black tea extract,CHC-C-A402319,2027/03/23
amigblateaflav,Black Tea Flavour 592023 TP0904,1008514072,2027/04/23
amigbrown,brown th c622/s colour,CBHTY-2425/10,2029/05/03
amigbrown,brown th c622/s colour,Cbhty-2425/25,2029/09/05
amigcaram,caramel colour powder 606,001092,2027/08/07
amigcaram,caramel colour powder 606,001106,2027/08/09
amigcaram,caramel colour powder 606,005913,2027/09/25
amigcaram,caramel colour powder 606,013131,2027/11/07
amigcaram,caramel colour powder 606,050425 111923,2027/04/05
amigcaram,caramel colour powder 606,080625 112367,2027/06/08
